name,loadspec,smoothing,earlyTime,lateTime,earlyGain,lateGain,returnGain,earlyLpf,lateLpf,inputLpf,dampLpf,wallReflect,dryGain,earlySize,lateSize,diffusion
pentagon_stairwell,spl_pentagon,0.5,0.675,0.33,0.3574387,0.64,2.44767,0.1850001,0.47,0.24,0.5,0.8,0,3.887,5.954,0.1
pentagon_conference,spl_pentagon,0.5,0.38,0.305,0.652265,0.5890174,1.037893,0.385,0.275,0.555,0.28,0.805,0,6.6695,5.0795,0.825
shock_death,,0.99,0.645,0.655,2.42,2.54,1,0.745,0.8,0.745,0.665,0.765,0,13.8535,14.1715,0.5
shock_flare,,0.99,0.95,0.95,2.42,2.54,1,0.745,0.8,0.745,0.665,0.765,0,16,16,0.5
shock_flashbang,,0.99,0.95,0.95,2.42,2.54,1,0.745,0.8,0.745,0.665,0.765,0,16,16,0.5
shock_vorkuta_gas,,0.495,0.405,0.5,2.42,2.54,0.7105466,0.745,0.8,0.745,0.665,0.765,0,6.062496,5.585496,0.5
rebirth_smallroom,spl_rebirth,0.525,0.48,0.48,1,0.9850001,1.00123,0.13,0.665,0.215,0.375,0.9950001,0,3.5185,2.7235,0.5
rebirth_largeroom,spl_rebirth,0.5,0.38,0.305,0.7108861,1.085987,1.997204,0.43,0.4349999,0.395,0.645,0.78,0,6.3515,6.669498,0.255
rebirth_stairwell,spl_rebirth,0.5,0.565,0.635,0.4477814,0.962716,1.519147,0.1850001,0.47,0.39,0.6399999,0.8,0,5.795,5.159,0.6249999
rebirth_hallway_narrow,spl_rebirth,0.5,0.355,0.37,1.091276,1.439848,1.773218,0.305,0.175,0.635,0.305,0.89,0,5.795002,4.523,0.345
rebirth_wood_room,spl_rebirth,0.5,0.285,0.285,1.164524,0.4417261,0.8173879,0.32,0.2,0.32,0.38,0.695,0,5.397499,4.1255,0.805
rebirth_huge_room,spl_rebirth,0.5,0.535,0.6750001,0.6171733,1.102693,1.063242,0.43,0.4149999,0.5,0.4,0.8299999,0,5.5565,7.067,0.64
rebirth_tile_room,spl_rebirth,0.5,0.4500001,0.475,1.200244,1.727114,1.791686,0.445,0.315,0.00499998,0.1049999,0.91,0,3.40999,3.727984,0.195
rebirth_outside,spl_rebirth,0.5,0.27,0.35,0.7021068,0.5231057,0.9542388,0.3849998,0.325,0.19,0.3300001,0.3149998,0,3.330503,8.975004,0.5750001
rebirth_docks,spl_rebirth,0.5,0.335,0.33,0.3315235,1.166787,0.2575704,0.5949999,0.43,0.635,0.3300001,0.1799998,0,5.397503,6.908002,0.8300001
rebirth_container,spl_rebirth,0.5,0.4950001,0.4700001,0.6231731,1,0.2180798,0.7449999,0,0,0.55,0.78,0,5,2.8535,0.5
rebirth_hazmat,spl_rebirth,0.5,0.195,0.28,0.3315235,1.489573,1.139086,0.5949999,0,0.635,0.3300001,0.1799998,0,4.443503,2.138002,0.1500001
cuba_outdoor_battle,spl_cuba,0.5,0.44,0.67,0.01114847,0.4576809,1.60641,0.345,0.37,0.73,0.74,0.62,0,9.77001,5.397504,0.82
cuba_outdoor_deafault,spl_cuba,0.5,0.425,0.48,0.3315235,0.1151112,2.743236,0.5949999,0,0.635,0.6000001,0.2099999,0,5,11.7575,0.16
cuba_interior_bar,spl_cuba,0.5,0.325,0.24,0.9676569,1.382384,1.73557,0.475,0.405,0.4550001,0.3400001,0.55,0,4.711,3.2005,0.61
cuba_outdoor_overhangs,spl_cuba,0.5,0.2950001,0.5350001,0.542052,0.1546481,2.448971,0.13,0.225,0.495,0.305,0.1150001,0,3.0125,9.372499,0.75
cuba_streetbattle_corr,spl_cuba,0.5,0.6300001,0.34,1.200244,0.426529,0.4740238,0.445,0.315,0.365,0.6799999,0.91,0,4.04599,9.054483,0.195
cuba_path,spl_cuba,0.975,0.2300002,0.4150002,0.56,0.454057,1.248802,0.35,0.285,0.46,0.3,0.2650001,0,9.083498,9.7195,0.5
cuba_path_cliff,spl_cuba,0.5,0.315,0.3400001,0.1154578,0.9728792,0.3591633,0,0.295,0.075,0.57,0.345,0,4.154502,7.890996,0.255
cuba_fourwall,spl_cuba,0.5,0.2950001,0.5350001,0.8985546,0.4828927,1.052387,0.55,0.34,0.495,0.305,0.3150001,0,4.7615,3.091998,0.75
cuba_smallroom,spl_cuba,0.525,0.48,0.48,1,0.9850001,1,0.48,0.665,0.215,0.315,0.9950001,0,1.1335,1.849,0.5
cuba_garage,spl_cuba,0.5,0.2999999,0.34,0.2948095,0.5775158,1.444708,0.255,0.3649999,0.215,0.495,0.82,0,6.0335,5.0795,0.35
cuba_largeroom,spl_cuba,0.5,0.47,0.4800002,0.9478133,0.2360874,2.009667,0.575,0.66,0.465,0.595,0.3850002,0,5.794995,4.9205,0.1850001
cuba_plane_interior,spl_cuba,0.525,0.09499996,0.33,1,0.2115241,1,0.48,0.665,0.215,0.62,0.9950001,0,5.4265,3.757,0.5
wii_gun_recording,,0.5,0.485,0.375,0.2817803,0.3557587,1.872075,0.32,0.2,0.32,0.38,0.34,0,6.589999,3.569,0.805
zmb_theater_main_room,zmb_theater,0.495,0.705,0.5950002,0.8919507,0.6788099,0.5166389,0.8349999,0.2350001,0.265,0.545,0.7100002,0,6.430995,5.795,0.3350001
zmb_theater_lobby,zmb_theater,0.5,0.6799999,0.61,0.7181963,0.9476994,1,0.255,0.1299999,0.215,0.61,0.05500002,0,5.0795,4.2845,0.2650001
zmb_theater_sideroom,zmb_theater,0.525,0.55,0.475,0.8699943,0.8158321,1,0.57,0.595,0.455,0.4949999,0.6750001,0,5.664999,3.8365,0.16
zmb_theater_hallway,zmb_theater,0.5,0.475,0.33,0.9298208,0.7362747,1.364984,0.305,0.4,0.445,0.74,0.84,0,5.795002,4.523,0.2
zmb_theater_parlour,zmb_theater,0.5,0.36,0.45,0.741349,0.1110195,2.066492,0.48,0.5499999,0.51,0.435,0.6449999,0,6.987499,5.636002,0.245
zmb_theater_dressing_room,zmb_theater,0.5,0.485,0.485,0.82,0.965,1.249741,0.475,0.565,0.32,0.825,1,0,3.8075,3.4895,0.5
zmb_theater_backstage,zmb_theater,0.495,0.705,0.5950002,0.8919507,0.6788099,0.5166389,0.8349999,0.2350001,0.615,0.605,0.7100002,0,6.430995,5.795,0.3350001
zmb_theater_backstage_stairwell,zmb_theater,0.5,0.495,0.45,0.7066845,0.9608659,1.145511,0.4550001,0.47,0.47,0.5,0.63,0,5.5565,4.9205,0.38
zmb_theater_machinery,zmb_theater,0.5,0.37,0.355,0.7368,0.8517297,1.415744,0.32,0.315,0.465,0.68,0.6100001,0,5.636,4.682004,0.8149999
zmb_theater_under_machinery,zmb_theater,0.5,0.875,0.51,0.7368,0.1414849,1,0.04499996,0.375,0.035,0.08499998,0.935,0,3.1715,4.682004,0.485
zmb_theater_alleyway,zmb_theater,0.5,0.475,0.34,0.9298208,0.7362747,1.364984,0.305,0.32,0.335,0.405,0.84,0,2.297002,4.9205,0.865
zmb_theater_projector_booth,zmb_theater,0.525,0.48,0.42,0.755305,0.8158321,1,0.13,0.075,0.455,0.4949999,0.6750001,0,5.664999,3.8365,0.16
radiation_outdoor,mpl_radiation,0.5,0.425,0.48,0.3315235,0.1151112,2.743236,0.5949999,0,0.635,0.6000001,0.2099999,0,5,11.7575,0.16
radiation_recessed,mpl_radiation,0.5,0.265,0.395,1.370412,0.1857519,1.760259,0.67,0.57,0.615,0.3249999,0.28,0,2.217495,6.430995,0.275
radiation_stonecorridor,mpl_radiation,0.5,0.75,0.405,0.5000001,1,0.7132238,0.315,0.19,0.37,0.5349999,0.6249999,0,4.682,8.021,0.81
radiation_crawlspace,mpl_radiation,0.5,0.475,0.34,0.9298208,0.7362747,1.364984,0.305,0,0.175,0.405,0.84,0,2.297002,4.9205,0.865
radiation_crawlspace_2,mpl_radiation,0.5,0.475,0.34,0.9298208,0.7362747,1.364984,0.305,0,0.175,0.405,0.84,0,2.297002,4.9205,0.865
radiation_tunnel,mpl_radiation,0.5,0.72,0.63,0.715,1.5,0.7636991,0.67,0.57,0.205,0.4449999,0.28,0,4.999995,4.999995,0.275
radiation_under_room,mpl_radiation,0.525,0.55,0.475,0.8699943,0.8158321,1,0.57,0.595,0.455,0.4949999,0.6750001,0,5.664999,3.8365,0.16
radiation_large,mpl_radiation,0.495,0.705,0.5950002,0.8919507,0.6788099,0.7781968,0.8349999,0.2350001,0.265,0.545,0.7100002,0,6.430995,5.795,0.3350001
radiation_smallroom,mpl_radiation,0.35,0.35,0.42,1.136944,0.8158321,1.23388,0.13,0.34,0.35,0.3949999,0.6750001,0,5.664999,3.8365,0.16
radiation_stairwell,mpl_radiation,0.5,0.675,0.33,0.3574387,0.64,2.44767,0.1850001,0.47,0.24,0.5,0.8,0,3.887,5.954,0.1
radiation_corridor,mpl_radiation,0.5,0.475,0.34,0.9298208,0.7362747,1.364984,0.305,0.32,0.335,0.405,0.84,0,2.297002,4.9205,0.865
river_outside,spl_river,0.5,0.425,0.48,0.09913547,0.2317542,1.132288,0.5949999,0,0.635,0.6000001,0.2099999,0,5,9.77,0.16
river_fuselage,spl_river,0.5,0.4500001,0.2850001,0.8849999,1,1,0.7449999,0,0,0.66,0.78,0,5,5.8745,0.5
river_sunken_clearing,spl_river,0.46,0.6550001,0.4050002,1.135665,0.3959801,0.445805,0.25,0.355,0.315,0.405,0.23,0,10.83251,6.618997,0.7849998
river_rock_canyon,spl_river,0.5,0.735,0.3400001,0.1154578,0.9728792,1.7707,0,0.295,0.075,0.57,0.52,0,4.154502,7.890996,0.255
full_outdoor,spl_fullahead,0.5,0.425,0.48,0.3315235,0.5696642,1.79413,0.5949999,0,0.635,0.6000001,0.2099999,0,5,11.7575,0.16
full_small_partial,spl_fullahead,0.525,0.48,0.375,1,0.9850001,1,0.48,0.665,0.215,0.315,0.9950001,0,6.619,5.188,0.5
full_small_full,spl_fullahead,0.525,0.48,0.555,1,0.9850001,1.386984,0.48,0.665,0.215,0.315,0.9950001,0,2.7235,3.598,0.5
full_small_stone_partial,spl_fullahead,0.525,0.48,0.48,1,0.9850001,1,0.48,0.665,0.215,0.315,0.9950001,0,1.1335,1.849,0.5
full_small_stone_full,spl_fullahead,0.525,0.55,0.6,0.8699943,0.8158321,1.120968,0.365,0.3,0.455,0.5699999,0.6750001,0,5.664999,3.6775,0.25
full_small_wood_partial,spl_fullahead,0.525,0.35,0.48,1,0.9850001,1,0.48,0.665,0.455,0.6,0.9950001,0,4.3135,7.811497,0.5
full_hangar,spl_fullahead,0.5,0.4699999,0.4500001,0.2948095,1.226345,1.631769,0.455,0.5099999,0.455,0.495,0.82,0,9.372501,6.113,0.39
full_under_walkway,spl_fullahead,0.5,0.3400001,0.5650001,0.542052,0.7915668,1.361597,0.305,0.53,0.495,0.305,0.2700001,0,8.339002,4.840995,0.21
full_ship_default,spl_fullahead,0.5,0.5700001,0.6650001,0.9693578,1,0.9511258,0.5149999,0.295,0.205,0.605,0.78,0,5.0795,4.523,0.5
full_ship_partial,spl_fullahead,0.5,0.755,0.615,0.805,0.2963429,0.8794533,0.385,0.335,0.48,0.43,0.82,0,6.59,5.5565,0.5
full_ship_gas_chamber,spl_fullahead,0.525,0.32,0.51,1.810889,2.000325,1.389038,0.295,0.48,0.455,0.4399999,0.9050001,0,3.757,3.916,0.75
mp_cairo_outside,mpl_cairo,0.5,0.425,0.48,0.3315235,0.1151112,1.553842,0.5949999,0,0.635,0.6000001,0.2099999,0,5,11.7575,0.16
mp_cairo_smallroom,mpl_cairo,0.525,0.48,0.42,0.755305,0.8158321,1,0.585,0.57,0.455,0.4949999,0.6750001,0,5.664999,3.8365,0.16
mp_cairo_medroom,mpl_cairo,0.525,0.46,0.395,0.8699943,0.8158321,1.310727,0.57,0.595,0.455,0.7449999,0.6750001,0,5.664999,3.8365,0.16
mp_cairo_lrgroom,mpl_cairo,0.5,0.52,0.515,0.4452697,0.1110195,2.066492,0.48,0.5499999,0.51,0.435,0.6449999,0,6.987499,5.636002,0.245
mp_cairo_tile_room,mpl_cairo,0.5,0.5050001,0.3900001,0.04116639,0.8664576,0.8273897,0.405,0.305,0.495,0.365,0.5450001,0,4.046,4.204994,0.3550001
mp_cairo_stairwell,mpl_cairo,0.5,0.675,0.33,0.3574387,0.64,1.147617,0.1850001,0.47,0.24,0.5,0.8,0,3.887,5.954,0.1
russianbase_factory,mpl_russianbase,0.5,0.645,0.535,0.4096776,0.66,1,0.385,0.72,0.39,0.355,0.345,0,4.7615,6.5105,0.8
russianbase_factory_2,mpl_russianbase,0.5,0.475,0.565,0.805,0.66,0.8257688,0.385,0.72,0.23,0.44,0.57,0,4.1255,5.159,0.73
russianbase_metal_room,mpl_russianbase,0.5,0.47,0.5400002,0.9478133,0.6946241,0.9589102,0.575,0.66,0.59,0.25,0.3850002,0,6.351496,4.205,0.1850001
russianbase_small_room,mpl_russianbase,0.525,0.565,0.41,0.755305,0.8158321,0.6682822,0.5,0.495,0.455,0.3599999,0.2550001,0,7.890999,6.301,0.835
russianbase_outside,mpl_russianbase,0.5,0.425,0.48,0.3315235,0.1151112,2.743236,0.5949999,0,0.635,0.6000001,0.2099999,0,5,11.7575,0.16
russianbase_alley,mpl_russianbase,0.5,0.24,0.34,0.9298208,0.7362747,1.364984,0.305,0,0.49,0.405,0.84,0,3.410002,4.9205,0.01
havoc_outside,mpl_havoc,0.265,0.425,0.48,0.3315235,0.1151112,2.743236,0.5949999,0,0.635,0.6000001,0.2099999,0,5,11.7575,0.16
havoc_small_room,mpl_havoc,0.525,0.65,0.42,0.755305,0.8158321,0.5865667,0.13,0.075,0.26,0.47,0.6750001,0,5.664999,3.8365,0.16
havoc_partial_room,mpl_havoc,0.525,0.48,0.42,0.755305,0.8158321,1,0.13,0.075,0.455,0.4949999,0.6750001,0,5.664999,3.8365,0.16
havoc_rock_wall,mpl_havoc,0.575,0.62,0.5349999,0.3602915,0.7208192,1.211282,0.305,0,0.49,0.405,0.625,0,3.251002,4.682,0.73
havoc_stone_room,mpl_havoc,0.32,0.4600003,0.4599997,1.158298,0.8430172,0.6637228,0.575,0.315,0.365,0.205,0.755,0,5.23849,3.966482,0.38
firingrange_outside,mpl_firingrange,0.5,0.425,0.48,0.3315235,0.1151112,2.743236,0.5949999,0,0.635,0.6000001,0.2099999,0,5,11.7575,0.16
firingrange_trailer,mpl_firingrange,0.5,0.59,0.225,0.8108426,0.8691428,0.519017,0.32,0.2,0.32,0.57,0.34,0,6.589999,5.3975,0.805
firingrange_med_room,mpl_firingrange,0.525,0.435,0.38,0.6766358,0.8325876,1.265589,0.57,0.28,0.455,0.3199999,0.2600001,0,4.949499,3.8365,0.84
firingrange_cave,mpl_firingrange,0.5,0.2,0.36,1.095698,0.5788479,0.944294,0.385,0.6950001,0.485,0.69,0.71,0,3.728,5.2385,0.5
firingrange_partial_room,mpl_firingrange,0.5,0.545,0.3400001,0.1154578,0.9728792,1.7707,0,0.295,0.075,0.57,0.52,0,5.824002,5.108496,0.255
firingrange_small_room,mpl_firingrange,0.39,0.62,0.63,0.755305,0.8158321,1,0.13,0.075,0.455,0.3599999,0.6750001,0,5.664999,3.8365,0.16
firingrange_stone_room,mpl_firingrange,0.5,0.565,0.705,0.805,0.66,1,0.385,0.72,0.48,0.43,0.82,0,3.1715,3.1715,0.5
hanoi_outside,mpl_hanoi,0.5,0.425,0.48,0.3315235,0.1151112,1.5308,0.5949999,0,0.635,0.6000001,0.2099999,0,5,11.7575,0.16
hanoi_small_room,mpl_hanoi,0.64,0.52,0.535,0.755305,0.8158321,0.6646053,0.27,0.39,0.455,0.3599999,0.6750001,0,5.664999,3.8365,0.16
hanoi_partial_room,mpl_hanoi,0.5,0.565,0.705,0.805,0.66,0.566152,0.385,0.72,0.48,0.43,0.82,0,3.1715,3.1715,0.5
hanoi_wood_room,mpl_hanoi,0.525,0.55,0.475,0.8699943,0.8158321,1,0.57,0.595,0.455,0.4949999,0.6750001,0,5.664999,3.8365,0.16
hanoi_largeroom,mpl_hanoi,0.5,0.52,0.45,0.4452697,0.1110195,1.433948,0.48,0.5499999,0.51,0.435,0.6449999,0,6.987499,5.636002,0.245
crisis_outside,mpl_crisis,0.5,0.425,0.48,0.3315235,0.1151112,1.285037,0.5949999,0,0.635,0.6000001,0.2099999,0,5,11.7575,0.16
crisis_bunker_int,mpl_crisis,0.5,0.705,0.47,0.805,0.66,0.7930958,0.385,0.72,0.57,0.595,0.82,0,3.1715,4.364,0.5
crisis_computer_room,mpl_crisis,0.5,0.705,0.595,0.805,0.66,0.7930958,0.385,0.72,0.035,0.4,0.35,0,3.1715,3.6485,0.305
crisis_cave,mpl_crisis,0.5,0.44,0.4,1.095698,0.5788479,0.7941554,0.385,0.6950001,0.485,0.465,0.71,0,3.728,5.2385,0.5
crisis_stone_room,mpl_crisis,0.5,0.565,0.635,0.5622616,0.66,0.8452919,0.385,0.72,0.48,0.43,0.82,0,3.1715,3.1715,0.5
crisis_small_room,mpl_crisis,0.525,0.48,0.42,0.755305,0.8158321,1,0.13,0.075,0.455,0.4949999,0.6750001,0,5.664999,3.8365,0.16
villa_outside,mpl_villa,0.5,0.425,0.48,0.3315235,0.1151112,1.836688,0.5949999,0,0.635,0.6000001,0.2099999,0,5,11.7575,0.16
villa_small_room,mpl_villa,0.525,0.55,0.37,0.8699943,0.8158321,1,0.39,0.5400001,0.575,0.3299999,0.6750001,0,5.664999,3.8365,0.16
villa_med_room,mpl_villa,0.525,0.545,0.47,0.6766358,0.8325876,0.8304822,0.38,0.28,0.455,0.4449999,0.6100001,0,4.949499,3.8365,0.3400002
villa_large_room,mpl_villa,0.5,0.52,0.41,0.4452697,0.1110195,2.006277,0.48,0.5499999,0.51,0.665,0.3749999,0,6.987499,5.636002,0.605
villa_partial_room,mpl_villa,0.5,0.315,0.565,0.7793059,0.66,1.130543,0.385,0.72,0.48,0.43,0.175,0,3.1715,3.1715,0.5
villa_barn,mpl_villa,0.5,0.295,0.42,0.9586681,1.004582,0.9610209,0.32,0.55,0.36,0.3250001,1,0,5.8745,6.192501,0.48
villa_hallway,mpl_villa,0.5,0.475,0.34,0.9298208,0.7362747,1.364984,0.305,0,0.175,0.405,0.84,0,2.297002,4.9205,0.865
villa_large_open_room,mpl_villa,0.5,0.345,0.435,0.8475981,0.6041108,1,0.32,0.615,0.32,0.635,0.495,0,3.409999,5,1
nuked_outdoor,mpl_nuked,0.5,0.425,0.48,0.3315235,0.1151112,2.743236,0.5949999,0,0.635,0.6000001,0.2099999,0,5,11.7575,0.16
nuked_house,mpl_nuked,0.525,0.55,0.37,0.8699943,0.8158321,1,0.57,0.595,0.455,0.4949999,0.3900001,0,5.664999,3.8365,0.16
nuked_truck,mpl_nuked,0.5,0.4950001,0.5150002,0.9693578,1,1.407167,0.7449999,0,0,0.66,0.78,0,5,2.8535,0.5
nuked_garage,mpl_nuked,0.5,0.4099999,0.38,0.6256027,0.8511828,1.475063,0.255,0.1299999,0.515,0.495,0.82,0,6.0335,5.0795,0.81
nuked_wood_room,mpl_nuked,0.5,0.335,0.23,0.9298208,0.7362747,2.837825,0.54,0.615,0.675,0.49,0.84,0,4.682002,3.6485,0.865
uwb_outside,spl_underwaterbase,0.5,0.285,0.595,0.3315235,0.7023535,1.208039,0.5949999,0.425,0.635,0.4400001,0.71,0,2.297,4.999995,0.325
uwb_ship_int_small,spl_underwaterbase,0.5,0.445,0.4,1.511637,1.08152,1.75201,0.385,0.275,0.49,0.185,0.805,0,4.046,5.159,0.1450001
uwb_ship_int_medium,spl_underwaterbase,0.5,0.5050001,0.5500001,1.08324,1.236357,1.079943,0.405,0.305,0.495,0.365,0.6750001,0,4.7615,5.476994,0.5150001
uwb_ship_int_moonpool,spl_underwaterbase,0.525,0.385,0.38,0.6791301,0.718529,1.505497,0.295,0.48,0.455,0.5099999,0.4850001,0,8.9245,4.9495,0.77
uwb_base_int_small,spl_underwaterbase,0.525,0.55,0.645,0.8699943,0.8158321,1,0.57,0.595,0.455,0.4949999,0.6750001,0,5.664999,4.4725,0.31
uwb_base_int_medium,spl_underwaterbase,0.5,0.705,0.56,0.805,0.66,0.6719033,0.385,0.72,0.57,0.595,0.82,0,6.431,6.908,0.5
uwb_base_int_large,spl_underwaterbase,0.5,0.31,0.5100001,0.5996466,0.4800566,1.655175,0.48,0.5499999,0.255,0.33,0.8849999,0,8.179999,5.477,0.93
uwb_in_chopper,spl_underwaterbase,0.525,0.29,0.42,0.8699943,0.8158321,0.1577078,0.465,0.485,0.455,0.4949999,0.6750001,0,5.664999,4.4725,0.31
int_hallway,spl_int_escape,0.5,0.475,0.6,0.9298208,0.7362747,1.364984,0.305,0,0.175,0.405,0.84,0,2.297002,4.9205,0.865
int_interrogation_room,spl_int_escape,0.525,0.48,0.42,0.755305,0.8158321,2.57495,0.13,0.075,0.455,0.5899999,0.3500001,0,5.664999,3.8365,0.16
int_1st_room,spl_int_escape,0.525,0.48,0.61,0.755305,0.8158321,1.80378,0.13,0.075,0.455,0.4949999,0.6750001,0,5.664999,5.4265,0.16
int_real_lab,spl_int_escape,0.525,0.545,0.47,0.6766358,0.8325876,0.8304822,0.38,0.28,0.455,0.4449999,0.6100001,0,4.949499,3.8365,0.3400002
int_flashback_lab,spl_int_escape,0.525,0.55,0.6,0.8699943,1.22785,1.837243,0.57,0.595,0.455,0.3949999,0.6750001,0,5.664999,6.3805,0.16
int_conference_room,spl_int_escape,0.525,0.55,0.475,0.8699943,0.8158321,2.328501,0.355,0.42,0.455,0.4949999,0.3700001,0,5.664999,5.2675,0.705
int_office_room,spl_int_escape,0.525,0.565,0.41,0.755305,0.8158321,1.391487,0.5,0.495,0.455,0.3599999,0.2550001,0,7.890999,6.301,0.835
int_control_room,spl_int_escape,0.5,0.535,0.48,0.805,0.66,1.545613,0.385,0.72,0.505,0.4,0.35,0,4.9205,5.5565,0.305
array_outside,mpl_array,0.5,0.425,0.48,0.3315235,0.1151112,2.743236,0.5949999,0,0.635,0.6000001,0.2099999,0,5,11.7575,0.16
array_hangar_med,mpl_array,0.5,0.2399999,0.4550001,0.2948095,1.226345,0.6604258,0.455,0.5099999,0.455,0.35,0.82,0,4.920501,4.6025,0.39
array_metal_room,mpl_array,0.5,0.375,0.505,1.511637,0.8952447,0.5822443,0.385,0.275,0.325,0.42,0.5500001,0,4.046,3.569,0.1450001
array_container,mpl_array,0.5,0.6750001,0.6150001,0.9693578,1,0.3597343,0.7449999,0,0,0.66,0.78,0,5,2.8535,0.5
array_small_room,mpl_array,0.525,0.65,0.42,0.755305,0.8158321,0.5865667,0.13,0.075,0.26,0.47,0.6750001,0,5.664999,3.8365,0.16
array_partial_room,mpl_array,0.5,0.315,0.565,0.7793059,0.66,1.130543,0.385,0.72,0.48,0.43,0.175,0,3.1715,3.1715,0.5
array_sat_station,mpl_array,0.5,0.345,0.47,0.8475981,0.6041108,1.013757,0.32,0.615,0.32,0.365,0.315,0,4.204999,4.7615,0.85
array_sat_room_1,mpl_array,0.525,0.55,0.475,0.8699943,0.8158321,1,0.57,0.595,0.455,0.4949999,0.6750001,0,5.664999,3.8365,0.16
array_sat_room_2,mpl_array,0.525,0.295,0.53,0.8699943,0.8158321,1.278726,0.57,0.355,0.455,0.3199999,0.6750001,0,5.664999,3.8365,0.16
array_tunnel,mpl_array,0.46,0.3550001,0.6250002,1.135665,0.8058601,1.048688,0.25,0.355,0.595,0.61,0.69,0,4.711008,5.744497,0.1799998
frontend_room,,0.525,0.48,0.42,0.755305,0.8158321,2.57495,0.13,0.075,0.455,0.5899999,0.3500001,0,5.664999,3.8365,0.16
frontend_elec,,0.99,0.95,0.95,2.42,2.54,1,0.745,0.8,0.745,0.665,0.765,0,16,16,0.5
stadium_outside,mpl_stadium,0.5,0.425,0.48,0.3315235,0.1151112,2.743236,0.5949999,0,0.635,0.6000001,0.2099999,0,5,11.7575,0.16
stadium_rink_room,mpl_stadium,0.525,0.385,0.38,0.94272,0.9005088,1.505497,0.295,0.48,0.455,0.5099999,0.4850001,0,9.481002,7.255,0.77
stadium_small_carpet,mpl_stadium,0.525,0.47,0.465,1,0.9850001,1,0.48,0.665,0.215,0.315,0.9950001,0,1.1335,1.849,0.5
stadium_med_carpet,mpl_stadium,0.525,0.55,0.475,0.8699943,0.8158321,0.5306962,0.57,0.595,0.455,0.6899999,0.6750001,0,5.664999,3.8365,0.16
stadium_small_tile,mpl_stadium,0.5,0.4500001,0.475,1.200244,1.727114,0.6380146,0.445,0.315,0.445,0.3349998,0.91,0,2.53549,2.296984,0.195
stadium_med_tile,mpl_stadium,0.5,0.3000001,0.415,1.200244,0.9541201,0.940352,0.445,0.315,0.00499998,0.4249999,0.91,0,3.01249,3.727984,0.195
stadium_tunnle_stone,mpl_stadium,0.46,0.2750001,0.2800002,1.135665,0.8058601,1.048688,0.25,0.355,0.595,0.61,0.69,0,4.711008,5.744497,0.1799998
stadium_gym_room,mpl_stadium,0.5,0.445,0.4,1.511637,1.08152,0.7870723,0.385,0.275,0.49,0.185,0.805,0,2.6945,3.569,0.1450001
stadium_concrete_room,mpl_stadium,0.5,0.2049999,0.3000001,1.193842,1.226345,2.049141,0.455,0.5099999,0.455,0.35,0.82,0,2.535501,2.774,0.39
stadium_snack_shack,mpl_stadium,0.5,0.955,0.2849998,0.1177333,2.043147,1,0.595,0.465,0.125,0.07999996,0.455,0,14.887,3.9665,0.885
stadium_atrium,mpl_stadium,0.5,0.47,0.3700002,0.9478133,0.2360874,1,0.575,0.66,0.235,0.36,0.3850002,0,8.736498,6.8285,0.1850001
rv_mpout_outdoor,mpl_outskirts,0.5,0.425,0.48,0.4327179,0.1151112,2.743236,0.5949999,0,0.635,0.6000001,0.2099999,0,5,11.7575,0.16
rv_mpout_metal_shed,mpl_outskirts,0.435,0.465,0.405,1.8,1.12,0.714839,0.165,0.49,0.545,0.3150002,0.3150001,0,4.761507,4.125507,0.5
rv_mpout_livingroom,mpl_outskirts,0.5,0.485,0.485,0.82,0.965,1,0.475,0.565,0.32,0.825,1,0,2.6945,2.6945,0.5
rv_mpout_alley,mpl_outskirts,0.5,0.655,0.345,0.525,1,1,0.6,0.395,0.26,0.8300001,0.89,0,6.272004,6.272004,0.5
rv_mpout_smallroom,mpl_outskirts,0.525,0.48,0.48,1,0.9850001,1,0.13,0.665,0.215,0.005,0.9950001,0,1.1335,1.1335,0.5
rv_mpout_fourwall,mpl_outskirts,0.5,0.2950001,0.5350001,0.8985546,0.4828927,1.639243,0.13,0.225,0.495,0.305,0.1150001,0,3.0125,3.807498,0.75
rv_mpout_pentagon_heli_tarmac,mpl_outskirts,0.5,0.425,0.48,0.21764,0.1151112,2.743236,0.5949999,0,0.635,0.6000001,0.2099999,0,5,6.828501,0.16
rv_zmbbus_outdoor,zmb_bus,0.5,0.425,0.48,0.4327179,0.1151112,2.743236,0.5949999,0,0.635,0.6000001,0.2099999,0,5,11.7575,0.16
rv_zmbbus_metal_shed,zmb_bus,0.435,0.465,0.405,1.8,1.12,0.714839,0.165,0.49,0.545,0.3150002,0.3150001,0,4.761507,4.125507,0.5
rv_zmbbus_livingroom,zmb_bus,0.5,0.485,0.485,0.82,0.965,1,0.475,0.565,0.32,0.825,1,0,2.6945,2.6945,0.5
rv_zmbbus_alley,zmb_bus,0.5,0.655,0.345,0.525,1,1,0.6,0.395,0.26,0.8300001,0.89,0,6.272004,6.272004,0.5
rv_zmbbus_smallroom,zmb_bus,0.525,0.48,0.48,1,0.9850001,1,0.13,0.665,0.215,0.005,0.9950001,0,1.1335,1.1335,0.5
rv_zmbbus_fourwall,zmb_bus,0.5,0.2950001,0.5350001,0.8985546,0.4828927,1.639243,0.13,0.225,0.495,0.305,0.1150001,0,3.0125,3.807498,0.75
